customer_id,date,category,amount
C001,2022-01-31,housing,577.91
C001,2022-01-31,food,895.87
C001,2022-01-31,transport,512.02
C001,2022-01-31,shopping,620.08
C001,2022-01-31,entertainment,901.58
C001,2022-01-31,other,560.27
C001,2022-02-28,housing,637.09
C001,2022-02-28,food,672.93
C001,2022-02-28,transport,454.13
C001,2022-02-28,shopping,421.13
C001,2022-02-28,entertainment,796.01
C001,2022-02-28,other,493.26
C001,2022-03-31,housing,699.94
C001,2022-03-31,food,1111.55
C001,2022-03-31,transport,556.54
C001,2022-03-31,shopping,501.24
C001,2022-03-31,entertainment,790.33
C001,2022-03-31,other,623.84
C001,2022-04-30,housing,722.88
C001,2022-04-30,food,822.49
C001,2022-04-30,transport,580.98
C001,2022-04-30,shopping,666.65
C001,2022-04-30,entertainment,1119.28
C001,2022-04-30,other,690.86
C001,2022-05-31,housing,558.85
C001,2022-05-31,food,703.14
C001,2022-05-31,transport,502.79
C001,2022-05-31,shopping,504.3
C001,2022-05-31,entertainment,764.25
C001,2022-05-31,other,516.86
C001,2022-06-30,housing,646.75
C001,2022-06-30,food,868.3
C001,2022-06-30,transport,436.65
C001,2022-06-30,shopping,487.38
C001,2022-06-30,entertainment,788.87
C001,2022-06-30,other,486.83
C001,2022-07-31,housing,713.18
C001,2022-07-31,food,648.63
C001,2022-07-31,transport,601.42
C001,2022-07-31,shopping,359.66
C001,2022-07-31,entertainment,757.59
C001,2022-07-31,other,518.36
C001,2022-08-31,housing,748.5
C001,2022-08-31,food,968.45
C001,2022-08-31,transport,577.8
C001,2022-08-31,shopping,519.83
C001,2022-08-31,entertainment,1045.27
C001,2022-08-31,other,570.62
C001,2022-09-30,housing,393.09
C001,2022-09-30,food,522.44
C001,2022-09-30,transport,458.77
C001,2022-09-30,shopping,399.48
C001,2022-09-30,entertainment,715.64
C001,2022-09-30,other,385.01
C001,2022-10-31,housing,688.87
C001,2022-10-31,food,768.47
C001,2022-10-31,transport,606.61
C001,2022-10-31,shopping,468.46
C001,2022-10-31,entertainment,815.36
C001,2022-10-31,other,515.71
C001,2022-11-30,housing,517.53
C001,2022-11-30,food,573.7
C001,2022-11-30,transport,435.58
C001,2022-11-30,shopping,427.03
