Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,155.71743774414062,188.39999389648438,189.72000122070312,187.25999450683594,189.2899932861328,1865000
2015-01-05,152.98162841796875,185.08999633789062,187.41000366210938,184.66000366210938,187.25999450683594,2734700
2015-01-06,151.47738647460938,183.27000427246094,185.8800048828125,182.36000061035156,185.3699951171875,2245300
2015-01-07,153.37008666992188,185.55999755859375,185.91000366210938,184.22999572753906,184.72999572753906,2305600
2015-01-08,156.06459045410156,188.82000732421875,189.0500030517578,187.07000732421875,187.1300048828125,1740600
2015-01-09,154.7504119873047,187.22999572753906,189.33999633789062,186.64999389648438,189.3000030517578,2525200
2015-01-12,153.6014862060547,185.83999633789062,187.60000610351562,185.19000244140625,187.4600067138672,1847500
2015-01-13,153.19654846191406,185.35000610351562,188.41000366210938,183.89999389648438,187.22000122070312,2158500
2015-01-14,152.295654296875,184.25999450683594,184.39999389648438,182.11000061035156,183.10000610351562,5216300
2015-01-15,150.8740234375,182.5399932861328,185.25,182.39999389648438,184.8800048828125,1940700
2015-01-16,152.74195861816406,184.8000030517578,185.0800018310547,182.08999633789062,182.30999755859375,1472800
2015-01-20,153.1221160888672,185.25999450683594,185.89999389648438,183.5800018310547,185.6199951171875,1637600
2015-01-21,153.9239044189453,186.22999572753906,186.74000549316406,184.3000030517578,184.77000427246094,1586500
2015-01-22,156.2794952392578,189.0800018310547,189.14999389648438,185.60000610351562,187.08999633789062,6074900
2015-01-23,155.41989135742188,188.0399932861328,189.02000427246094,187.7899932861328,188.72000122070312,3109800
2015-01-26,155.72567749023438,188.41000366210938,188.50999450683594,186.92999267578125,187.7899932861328,2018000
2015-01-27,153.6842041015625,185.94000244140625,187.17999267578125,185.02000427246094,186.13999938964844,1979100
2015-01-28,151.65919494628906,183.49000549316406,187.32000732421875,183.35000610351562,187.27000427246094,2530800
2015-01-29,153.13040161132812,185.27000427246094,185.52999877929688,182.2100067138672,183.74000549316406,4338200
2015-01-30,151.24594116210938,182.99000549316406,185.3800048828125,182.6300048828125,183.9600067138672,2302500
2015-02-02,152.98162841796875,185.08999633789062,185.25999450683594,181.47000122070312,183.5,3397800
2015-02-03,155.2132110595703,187.7899932861328,187.86000061035156,185.7899932861328,186.1300048828125,1435000
2015-02-04,154.6842803955078,187.14999389648438,188.35000610351562,186.64999389648438,187.02999877929688,1861200
2015-02-05,156.254638671875,189.0500030517578,189.19000244140625,187.85000610351562,187.88999938964844,1033800
2015-02-06,155.81663513183594,188.52000427246094,190.0500030517578,187.94000244140625,189.49000549316406,1454700
2015-02-09,155.10586547851562,187.66000366210938,188.58999633789062,187.22000122070312,187.80999755859375,2289300
2015-02-10,156.7588653564453,189.66000366210938,189.92999267578125,187.85000610351562,188.82000732421875,1798000
2015-02-11,156.8662872314453,189.7899932861328,190.22999572753906,188.77999877929688,189.50999450683594,1744400
2015-02-12,158.32098388671875,191.5500030517578,191.64999389648438,190.47000122070312,190.6999969482422,2008500
2015-02-13,159.01527404785156,192.38999938964844,192.44000244140625,191.4600067138672,191.72000122070312,1073100
2015-02-17,159.27151489257812,192.6999969482422,192.8800048828125,191.7899932861328,192.07000732421875,1700400
2015-02-18,159.3045196533203,192.74000549316406,192.77999877929688,192.0,192.27999877929688,1863000
2015-02-19,159.1970977783203,192.61000061035156,192.97000122070312,191.88999938964844,192.08999633789062,1017600
2015-02-20,160.16415405273438,193.77999877929688,193.82000732421875,191.4499969482422,192.1300048828125,1374000
2015-02-23,160.12283325195312,193.72999572753906,193.72999572753906,193.02999877929688,193.49000549316406,1497700
2015-02-24,160.5939178466797,194.3000030517578,194.49000549316406,193.42999267578125,193.69000244140625,1244200
2015-02-25,160.42037963867188,194.08999633789062,194.64999389648438,193.7100067138672,194.13999938964844,1983600
2015-02-26,160.238525390625,193.8699951171875,194.14999389648438,193.2100067138672,193.99000549316406,994200
2015-02-27,159.6847686767578,193.1999969482422,194.0500030517578,193.19000244140625,193.77000427246094,966600
2015-03-02,160.73446655273438,194.47000122070312,194.47000122070312,193.3000030517578,193.30999755859375,1016600
2015-03-03,160.04843139648438,193.63999938964844,194.02000427246094,192.69000244140625,193.9600067138672,1388100
2015-03-04,159.3789825439453,192.8300018310547,193.0500030517578,191.72999572753906,193.0,1497500
2015-03-05,159.55255126953125,193.0399932861328,193.3300018310547,192.47999572753906,193.14999389648438,1135800
2015-03-06,157.2960968017578,190.30999755859375,192.5500030517578,189.94000244140625,192.0,1815600
2015-03-09,157.965576171875,191.1199951171875,191.47000122070312,190.4199981689453,190.52000427246094,1132000
2015-03-10,155.37025451660156,187.97999572753906,189.6300048828125,187.97000122070312,189.57000732421875,2390500
2015-03-11,155.00662231445312,187.5399932861328,188.47000122070312,187.47000122070312,188.25999450683594,1857500
2015-03-12,157.0068359375,189.9600067138672,190.0,188.1999969482422,188.2100067138672,2646900
2015-03-13,156.04803466796875,188.8000030517578,189.7899932861328,187.6199951171875,189.67999267578125,1792200
2015-03-16,158.18040466308594,191.3800048828125,191.3800048828125,189.5500030517578,189.58999633789062,1054700
2015-03-17,157.64324951171875,190.72999572753906,191.1300048828125,189.8300018310547,190.47999572753906,1460900
2015-03-18,159.5194854736328,193.0,193.75999450683594,189.49000549316406,190.1699981689453,2287400
